entry_id,cluster_id,num_clones,clone_ids
BigCodeBench/559,0,22,"zero-shot deepseek-r1:14b-test 1 ['refac_3,refac_5,refac_7'];zero-shot deepseek-r1:14b-test 1 ['refac_2,refac_5,refac_6'];zero-shot deepseek-r1:14b-test 1 ['refac_1,refac_4,refac_5'];zero-shot deepseek-r1:14b-test 1 ['refac_2,refac_4,refac_6'];cot llama3.1:latest-test 1 ['refac_2,refac_5,refac_6'];cot gpt-oss:20b-test 1 ['refac_1,refac_3,refac_4'];zero-shot deepseek-r1:14b-test 1 ['refac_2,refac_6,refac_7'];zero-shot deepseek-r1:14b-test 1 ['refac_1,refac_3,refac_4'];zero-shot gpt-oss:20b-test 1 ['refac_1,refac_3,refac_4'];cot gpt-oss:20b-code 1 ['refac_1,refac_3,refac_7'];zero-shot gpt-oss:20b-test 1 ['refac_1,refac_3,refac_7'];cot deepseek-r1:14b-test 1 ['refac_3,refac_5,refac_7'];zero-shot llama3.1:latest-test 1 ['refac_2,refac_6,refac_7'];zero-shot llama3.1:latest-test 1 ['refac_1,refac_4,refac_5'];cot deepseek-r1:14b-test 1 ['refac_2,refac_4,refac_6'];cot deepseek-r1:14b-test 1 ['refac_1,refac_4,refac_5'];cot gpt-oss:20b-test 1 ['refac_2,refac_6,refac_7'];zero-shot deepseek-r1:14b-ast 1 ['refac_2,refac_5,refac_6'];zero-shot gemma3:latest-test 1 ['refac_1,refac_3,refac_4'];cot gpt-oss:20b-test 1 ['refac_1,refac_3,refac_7'];cot gpt-oss:20b-complete 1 ['refac_2,refac_5,refac_6'];cot gpt-oss:20b-test 1 ['refac_2,refac_4,refac_6']"
BigCodeBench/332,0,5,"cot deepseek-r1:14b-complete 1 ['refac_2,refac_6,refac_7'];zero-shot deepseek-r1:14b-complete 1 ['refac_2,refac_6,refac_7'];zero-shot deepseek-r1:14b-code 1 ['refac_1,refac_4,refac_5'];cot deepseek-r1:14b-complete 1 ['refac_2,refac_5,refac_6'];zero-shot deepseek-r1:14b-complete 1 ['refac_1,refac_3,refac_7']"
BigCodeBench/332,1,3,"cot gpt-oss:20b-test 1 ['refac_1,refac_3,refac_4'];cot gpt-oss:20b-test 1 ['refac_1,refac_3,refac_7'];zero-shot gpt-oss:20b-complete 1 ['refac_1,refac_3,refac_7']"
BigCodeBench/332,2,1,"cot gpt-oss:20b-complete 1 ['refac_2,refac_5,refac_6']"
BigCodeBench/751,4,3,"zero-shot deepseek-r1:14b-test 1 ['refac_1,refac_4,refac_5'];zero-shot deepseek-r1:14b-test 1 ['refac_2,refac_4,refac_6'];zero-shot deepseek-r1:14b-code 1 ['refac_2,refac_6,refac_7']"
BigCodeBench/751,5,2,"zero-shot deepseek-r1:14b-code 1 ['refac_2,refac_5,refac_6'];zero-shot deepseek-r1:14b-ast 1 ['refac_2,refac_5,refac_6']"
BigCodeBench/751,7,1,"cot llama3.1:latest-test 1 ['refac_2,refac_5,refac_6']"
BigCodeBench/751,6,3,"zero-shot deepseek-r1:14b-complete 1 ['refac_2,refac_6,refac_7'];cot deepseek-r1:14b-test 1 ['refac_2,refac_4,refac_6'];zero-shot deepseek-r1:14b-complete 1 ['refac_1,refac_3,refac_7']"
BigCodeBench/751,2,4,"cot gpt-oss:20b-code 1 ['refac_1,refac_3,refac_7'];cot gpt-oss:20b-complete 1 ['refac_1,refac_4,refac_5'];cot gpt-oss:20b-complete 1 ['refac_2,refac_5,refac_6'];cot gpt-oss:20b-complete 1 ['refac_1,refac_3,refac_4']"
BigCodeBench/751,1,1,"zero-shot deepseek-r1:14b-code 1 ['refac_1,refac_4,refac_5']"
