17:53:30.685237,15
17:53:30.690596,96
17:53:30.691745,20
17:53:30.692902,22
17:53:30.694273,64
17:53:30.695327,24
17:53:30.696387,80
17:53:30.697598,20
17:53:30.698995,25
17:53:30.700117,34
17:53:30.700916,65
17:53:30.701711,28
17:53:30.702618,63
17:53:30.703471,95
17:53:30.704501,40
17:53:30.705595,28
17:53:30.706329,13
17:53:30.707080,96
17:53:30.707696,83
17:53:30.708522,27
17:53:30.709270,12
17:53:30.710049,49
17:53:30.710820,10
17:53:30.711598,41
17:53:30.712343,73
17:53:30.713162,54
17:53:30.714293,47
17:53:30.715296,85
17:53:30.716068,64
17:53:30.716773,93
17:53:30.717886,23
17:53:30.718712,61
17:53:30.719866,100
17:53:30.720890,54
17:53:30.721757,1
17:53:30.722546,24
17:53:30.723327,11
17:53:30.724197,20
17:53:30.724949,12
17:53:30.725780,5
17:53:30.727025,0
17:53:30.727921,31
17:53:30.728705,1
17:53:30.729441,67
17:53:30.730212,41
17:53:30.730993,49
17:53:30.731780,63
17:53:30.732521,10
17:53:30.733181,47
17:53:30.734214,48
17:53:30.735057,99
17:53:30.735915,61
17:53:30.736550,26
17:53:30.737663,39
17:53:30.738454,89
17:53:30.739057,100
17:53:30.739614,55
17:53:30.740240,59
17:53:30.741207,49
17:53:30.742100,78
17:53:30.742914,73
17:53:30.744189,0
17:53:30.745121,36
17:53:30.745889,11
17:53:30.746854,65
17:53:30.747687,37
17:53:30.748568,24
17:53:30.749450,30
17:53:30.750600,65
17:53:30.751471,58
17:53:30.752155,4
17:53:30.752981,77
17:53:30.754154,33
17:53:30.755138,53
17:53:30.756451,83
17:53:30.757583,20
17:53:30.758203,21
17:53:30.758969,63
17:53:30.759743,31
17:53:30.760484,6
17:53:30.761199,36
17:53:30.762117,21
17:53:30.763310,10
17:53:30.764269,57
17:53:30.765116,33
17:53:30.765897,85
17:53:30.767023,42
17:53:30.768104,99
17:53:30.768982,49
17:53:30.770001,84
17:53:30.770955,100
17:53:30.772147,33
17:53:30.773262,79
